NAME,YEAR,AREA
AALFOTBREEN,1975,4.82
AALFOTBREEN,1980,4.82
AALFOTBREEN,2008,4.5
AALFOTBREEN,2010,3.97
ABANO,1960,2.0
ABANO,1975,2.0
ABAY,1975,12.2
ABEL,1978,3.45
ABRAHAM,1981,0.73
ABRAMOV,1968,24.63
ABRAMOV,1971,24.63
ABRAMOV,1972,24.63
ABRAMOV,1973,25.31
ABRAMOV,1974,25.31
ABRAMOV,1975,25.31
ABRAMOV,1976,25.25
ABRAMOV,1977,25.14
ABRAMOV,1978,25.11
ABRAMOV,1979,25.11
ABRAMOV,1980,25.11
ABRAMOV,1981,25.11
ABRAMOV,1982,25.11
ABRAMOV,1983,24.65
ABRAMOV,1984,24.65
ABRAMOV,1985,24.65
ABRAMOV,1986,24.65
ABRAMOV,1987,24.65
ABRAMOV,1988,24.64
ABRAMOV,1989,24.64
ABRAMOV,1990,24.64
ABRAMOV,1991,24.64
ABRAMOV,1992,24.51
ABRAMOV,1993,24.51
ABRAMOV,1994,24.51
ABRAMOV,2012,24.06
ABRAMOV,2013,24.0
ABRAMOV,2014,24.0
ADAMS,1978,9.96
ADAMS,1989,5.73
AEU.PIRCHLKAR,1969,0.94
AGNELLO MER.,1975,0.7
AGNELLO MER.,1983,0.5
AGUA NEGRA,2010,1.09
AGUILLES DE TRELATETE MER.,1975,0.25
AHTNA,1957,60.0
AK-SAY,1964,4.8
AK-SAY,1999,4.5
AKBAYTAL,1970,5.5
AKBULAKULKUN,1970,2.0
AKBULAKULKUN,1975,2.0
AKSU,1956,3.9
AKSU VOSTOCHNIY,1965,6.9
AKSU ZAPADNIY,1964,4.7
AKULLIIT,1950,3.43
ALAMKOUH,1955,3.7
ALAMKOUH,2010,3.7
ALBA,1990,0.01
ALBA,2005,0.0
ALBERICH,1975,1.36
ALBIGNA,1850,1.62
ALBIGNA,1973,8.71
ALDEGONDABREEN,1936,8.93
ALERCE,1975,7.29
ALEXANDER,1990,5.74
ALFOMBRALES,1959,2.6
ALFOMBRALES,1984,2.8
ALFOMBRALES,1987,2.2
ALIBEKSKIY,1965,5.4
ALIBEKSKIY,1975,5.4
ALING,1993,48.0
ALLALIN,1973,9.94
ALLALIN,1975,9.94
ALLALIN,1982,9.83
ALLALIN,1991,9.77
ALLALIN,1999,9.71
ALLALIN,2004,9.68
ALLISON,1980,6.5
ALMER/SALISBURY,1978,3.1
ALP.KRAEUL F.,1969,0.52
ALPEHUE,1961,19.56
ALPEHUE,2011,11.47
ALPEINER F.,1969,3.77
ALPEINER F.,1975,3.94
ALPETLI(KANDER),1973,14.02
ALPETLI(KANDER),1975,14.02
ALTA (VEDRETTA) / HOHENF.,1975,1.79
ALTA (VEDRETTA) / HOHENF.,1980,1.75
ALTO DEL PLOMO,1974,60.12
ALTO DEL PLOMO,2010,15.38
ALTYNSARIN,1975,1.4
AMALIA,1986,157.0
AMARILLO,2005,0.29
AMARILLO,2013,0.2
AMITSULOQ ISKA.,1980,165.0
AMMERTEN,1973,1.89
AMMERTEN,1975,1.89
AMOLA,1975,1.2
AMOLA,1980,0.86
ANDERSON,1979,0.61
ANDREI,1990,91.9
ANDREWS,1975,0.14
ANDY,1978,10.49
ANETO,1990,1.3
ANETO,2005,0.73
ANETO,2010,0.69
ANGEL,1975,0.89
ANTELAO INFERIORE (OCC.),1982,0.2
ANTELAO SUP.,1982,0.37
ANTIZANA15ALPHA,1956,0.46
ANTIZANA15ALPHA,1965,0.43
ANTIZANA15ALPHA,1993,0.37
ANTIZANA15ALPHA,1996,0.35
ANTIZANA15ALPHA,1997,0.34
ANTIZANA15ALPHA,1998,0.33
ANTIZANA15ALPHA,1999,0.34
ANTIZANA15ALPHA,2000,0.36
ANTIZANA15ALPHA,2001,0.34
ANTIZANA15ALPHA,2002,0.32
ANTIZANA15ALPHA,2003,0.3
ANTIZANA15ALPHA,2004,0.3
ANTIZANA15ALPHA,2005,0.28
ANTIZANA15ALPHA,2006,0.27
ANTIZANA15ALPHA,2007,0.27
ANTIZANA15ALPHA,2008,0.28
ANTIZANA15ALPHA,2009,0.29
ANTIZANA15ALPHA,2010,0.29
ANTUCO,1985,3.56
ANTUCO,2011,1.58
ANUTSINA,2009,49.57
ANZAC PEAK,1980,1.75
AOUILLE,1975,0.25
APE,1964,4.6
APUSERAJIK GLACIER,2002,3.73
ARAPAHO,1975,0.28
ARCO,1974,41.3
ARGENTIERE,1978,15.6
ARGUEREY MER.,1975,0.24
ARGUEREY SETT.,1975,0.49
ARIKAREE,1975,0.96
AROLLA (BAS),1973,6.02
AROLLA (BAS),1975,6.02
ARTESONRAJU,2013,5.39
ASHBURTON,1978,1.69
ASHU-TOR SOUTH,1950,6.0
ASIA,1986,133.0
ASSAKAAT,1950,13.2
ASTROLABE,1947,83.5
ASTROLABE,1963,75.0
ASTROLABE,1973,78.9
ASTROLABE,1985,70.0
ASTROLABE,1989,70.75
ASULKAN,1975,1.23
ATAVIST,1964,5.53
ATHABASCA,1956,14.95
ATHABASCA,1975,14.95
ATLANTE,1950,3.0
AURONA,1975,1.13
AURONA,1983,1.17
AUSTDALSBREEN,1966,11.95
AUSTDALSBREEN,2008,11.8
AUSTDALSBREEN,2009,10.62
AUSTERDALSBREEN,1975,28.0
AUSTERDALSBREEN,1980,26.84
AUSTRE BROEGGERBREEN,1980,6.1
AUSTRE LOVENBREEN,2007,4.6
AUSTRE LOVENBREEN,2008,4.55
AUSTRE LOVENBREEN,2009,4.54
AUSTRE LOVENBREEN,2010,4.53
AUSTRE LOVENBREEN,2011,4.51
AUSTRE LOVENBREEN,2012,4.49
AUSTRE MEMURUBREEN,1975,8.71
AVIO CENTRALE D,1975,0.35
AVOCA,1978,0.12
AX010,1978,0.57
AX010,1991,0.53
AX010,1996,0.48
AX010,1999,0.38
AX030,1976,0.53
AXIUS,1978,0.56
AYDGYNE,1964,3.5
AYDGYNE,1999,3.0
AYLAMA,1956,6.8
AYSBERGOV,1975,1.8
AYUTOR-2,1961,3.2
AYUTOR-2,1975,3.2
AZHA,1950,29.5
AZUFRADO,1959,1.5
AZUFRADO,1984,0.5
AZUFRADO,1987,1.15
AZUFRADO,1992,0.66
AZUFRE,2005,3.87
BABY GLACIER,1975,0.63
BABY GLACIER,2005,0.61
BACHFALLEN F.,1969,2.35
BACHFALLEN F.,1975,2.55
BAEGISARJOEKULL,1968,1.7
BAERENKOPF K.,1969,2.57
BAERENKOPF K.,1975,2.5
BAHIA DEL DIABLO,2008,14.3
BAHIA DEL DIABLO,2010,14.3
BAHIA DEL DIABLO,2014,12.9
BAISHUI NO. 1,1950,1.5
BAKER CK,1978,0.54
BAKLIBREEN,1984,3.19
BALAITUS SE,1990,0.02
BALAITUS SE,2005,0.0
BALFOUR,1978,7.0
BALMACEDA,1986,63.0
BALTORO,1945,786.02
BALTORO,1975,1286.0
BARBADORSO (FONTANA OR.) / BAERENBARTF.,1975,1.01
BARBADORSO DI DENTRO / BAERENBARTF. INNERER,1975,1.86
BARBADORSO DI DENTRO / BAERENBARTF. INNERER,1980,1.84
BARKRAK PRAVYY,1975,2.1
BARKRAK SREDNIY,1970,3.2
BARKRAK SREDNIY,1975,2.2
BARLOW,1978,2.57
BARNES ICE CAP SOUTH DOME N SLOPE,1975,675.0
BARPU,1939,125.56
BARRANCS,1990,0.18
BARRANCS,2005,0.08
BARRE,1947,6.1
BARRE,1963,5.25
BARRE,1973,4.35
BARRE,1985,2.1
BARRE,1989,4.5
BARRE,1996,7.9
BARRIER,1978,1.88
BARRIER PK,1978,0.03
BASEI,1975,0.28
BASEI,1983,0.37
BASODINO,1961,2.2
BASODINO,1973,2.3
BASODINO,1975,2.3
BASODINO,1985,2.2
BASODINO,1991,2.2
BASODINO,2002,2.2
BASODINO,2013,1.84
BASODINO OCC.,1975,0.14
BASSA DELL' ORTLES / ORTLERF. NIEDERER,1975,2.8
BASSAC,1975,0.5
BATURA,1945,330.0
BATYRBAI,1957,1.6
BAUDISSIN,1980,17.04
BAZHIN,1958,16.64
BEAR,2006,149.28
BEAR LAKE,1950,6.6
BEAR PASS,1979,0.59
BELLA TOLA,1973,0.31
BELLA TOLA,1975,0.31
BELLEFACE,1975,0.35
BELVEDERE (MACUGNAGA),1975,5.11
BELVEDERE (MACUGNAGA),1983,5.58
BENCH,1990,10.35
BENITO,1974,210.8
BERENDON,1972,33.4
BERG,1975,14.3
BERGLAS F.,1969,0.9
BERGLAS F.,1975,1.47
BERIO BLANC,1975,0.17
BERM,1977,1.07
BERNARDO,1986,536.0
BERTA,1975,0.6
BERTILBREEN,1950,3.91
BESSANESE,1975,1.45
BESSANESE,1986,1.04
BETRAMBREEN,1950,3.81
BETSELI,1957,60.0
BEZENGI,1966,36.2
BEZENGI,1975,36.2
BEZSONOV,1975,11.7
BEZYMYANNYY,1943,5.9
BIELTAL F E,1975,0.48
BIELTAL F.,1969,0.73
BIELTAL F. W,1975,0.29
BIFERTEN,1973,2.86
BIFERTEN,1975,2.86
BILDSTOECKL F.,1969,2.2
BILDSTOECKL F.,1975,2.69
BIONNASSAY,2010,4.75
BIRCH,1973,0.54
BIRDZHALYCHIRAN,1986,12.69
BIRLEY,2006,17.3
BIS,1973,4.79
BIS,1975,4.79
BITYUKTYUBE,1988,2.22
BJARKES GLETSCHER,2002,8.51
BLAAISEN,1975,2.42
BLACK,1979,1.36
BLACK,1994,9.18
BLACK RAPIDS,1973,224.94
BLAGNIPUJOEKULL,2010,51.5
BLAIR,1978,0.38
BLANC,1967,7.7
BLANC,1975,7.7
BLANCO CHICO,1961,7.0
BLANCO CHICO,1995,6.6
BLAUEIS,1975,0.13
BLAUEIS,1995,0.06
BLINDENHORN SUP.,1975,0.57
BLOMSTERSKARDSBREEN,1975,45.72
BLOMSTOELSKARDSBREEN,2007,22.76
BLOMSTOELSKARDSBREEN,2008,22.8
BLOMSTOELSKARDSBREEN,2013,22.4
BLUE GLACIER,1975,4.2
BLUE GLACIER,1979,5.5
BLUE GLACIER,1987,5.47
BLUEMLISALP,1973,2.98
BLUEMLISALP,1975,2.98
BOCCARECCIO,1975,0.25
BOCKKOGEL F.,1969,0.69
BOCKKOGEL F.,1975,1.46
BODMER,1973,0.64
BOGATYR,1968,29.8
BOGATYR,1975,29.8
BOLIVAR,1989,1.46
BOLIVAR,1995,1.27
BOLIVAR NE,1995,0.04
BOLIVAR S,1995,1.23
BOLSHOY AZAU,1987,18.77
BOLSHOY AZAU,1992,18.76
BOLSHOY BERELSKIY,1975,9.5
BOLSHOY CHONTOR,1950,6.6
BOLSHOY MAASHEY,1975,16.0
BOLSHOY MAASHEY,1985,16.0
BONAR,1978,15.41
BONDHUSBREA,1975,12.3
BONDHUSBREA,1980,23.26
BONDONE BASSO DE,1975,0.07
BONETE S,1975,0.16
BORDOO,1950,1.25
BORDU,1943,7.6
BOSSONS,1978,10.53
BOUNDARY,1985,1.5
BOVEYRE,1973,1.99
BOVEYRE,1975,1.99
BRECHA LATOUR,1990,0.06
BRECHA LATOUR,2005,0.0
BREIDABLIKKBREA,2007,3.37
BREIDABLIKKBREA,2008,3.4
BREIDABLIKKBREA,2013,3.22
BREIDAMJOEKULL E. A.,1991,540.0
BREIDAMJOEKULL E. B.,1993,540.0
BREIDAMJOEKULL W. A.,1975,1250.0
BREIDAMJOEKULL W. A.,1995,160.0
BREIDAMJOEKULL W. C.,1995,210.0
BRENEY,1973,9.8
BRENEY,1975,9.8
BRENNKOGL K.,1969,0.59
BRENVA,1975,8.06
BRESCIANA,1973,0.94
BRESCIANA,1975,0.94
BREUIL (O BROGLI),1975,0.34
BREUIL MER.,1975,0.73
BREUIL SETT.,1975,0.59
BREWSTER,1978,2.73
BRIDGE,1982,88.1
BRIKSDALSBREEN,1975,18.5
BRIKSDALSBREEN,1980,11.94
BROGGI,1985,0.55
BROKARJOEKULL,1994,5.0
BROUILLARD,1958,1.25
BROUILLARD,1975,1.25
BROUNOVE,2009,289.94
BROWN,1980,11.21
BROWN SUPERIOR,2005,0.27
BROWN SUPERIOR,2013,0.19
BRUARJOEKULL,1995,1700.0
BRUARJOEKULL,2008,1600.0
BRUNEGG,1973,6.12
BRUNEGG,1975,6.12
BRUNNI,1973,2.99
BRUNNI,1975,2.99
BUALTAR,1939,84.53
BUERBREEN,1975,14.3
BUERBREEN,1980,15.48
BUGABOO,1953,4.98
BUGABOO,1975,4.98
BULDAR,1958,10.86
BUNGE,2009,387.2
BURTON,1978,6.74
BUTLER,1978,0.76
BYRD STATION,1975,480.0
CACHET,1974,41.5
CAINHAVARRE,1975,0.71
CALBUCO 1,1987,2.31
CALBUCO 1,2005,1.79
CALDERAS,1973,1.29
CALDERAS,1975,1.2
CALDERONE,1975,0.06
CALDERONE,2006,0.03
CALDERONE,2007,0.03
CALDERONE,2008,0.03
CALDERONE,2010,0.03
CALDERONE,2012,0.03
CALDERONE,2013,0.03
CALLAQUI,1975,13.6
CALLAQUI,2011,7.19
CALOTTA,1975,0.21
CALTHA LAKE,1983,0.04
CALVO,1986,117.0
CAMBRENA,1973,1.72
CAMBRENA,1975,1.72
CAMERON,1978,1.97
CAMOSCI (SIEDEL),1975,0.25
CAMOSCI (SIEDEL),1983,0.34
CAMPANILLAS,1955,0.25
CAMPANILLAS,1994,0.13
CAMPO SETT.,1975,0.36
CAMPO SETT.,2012,0.3
CANIN OCC.,1975,0.09
CANIN OCC.,1985,0.27
CANIN OR.,1975,0.1
CANIN OR.,1985,0.15
CANITO,2009,0.84
CANTWELL,1950,3.03
CAPRA,1975,0.25
CARBON,1980,7.92
CARDONNE OCC. (PIAZZI OCC.),1975,0.75
CARDONNE OCC. (PIAZZI OCC.),1980,0.75
CARDONNE OR. (PIAZZI CENTR.),1975,0.26
CARE ALTO OR.,1975,0.27
CARESER,1967,4.72
CARESER,1975,4.68
CARESER,1980,4.83
CARESER,1995,3.85
CARESER,1997,3.36
CARESER,2006,2.39
CARESER,2009,1.92
CARESER,2010,1.6
CARESER,2013,1.58
CARIA,1978,0.3
CARRIE,1979,0.98
CARRINGTON,1978,0.12
CARSTENSZ,1975,0.89
CARSTENSZ,2000,0.73
CARSTENSZ,2002,0.68
CASA PANGUE,1961,7.0
CASA PANGUE,1995,6.4
CASPOGGIO,1975,0.8
CASPOGGIO,1980,0.84
CASSANDRA OCC.,1975,0.22
CASSANDRA OR.,1975,0.4
CASTANO OVERO,1975,8.01
CASTANO OVERO,1983,8.01
CASTELLI OCC.,1975,0.65
CASTELLI OR.,1975,0.4
CASTORE,1975,1.09
CAVAGNOLI,1973,1.32
CAVAION,1975,0.17
CAY (LENGUA NORTE),1979,9.05
CAY (LENGUA NORTE),2011,5.81
CEDEC,1975,2.5
CENTRAL,1987,0.6
CERENA,1975,0.5
CERRO BLANCO,1945,12.3
CERRO BLANCO,1997,11.8
CERRO EL MUERTO ICE CAP,1976,4.05
CERRO EL MUERTO ICE CAP,2003,1.41
CERRO NEVADO,1917,0.0
CERRO VOLCAN,1990,0.43
CERRO VOLCAN,2011,0.29
CERRO YANTELES,1979,66.39
CERRO YANTELES,2007,46.24
CERROS DE LA PLAZA,1955,1.52
CERROS DE LA PLAZA,1994,0.56
CERROS DE LA PLAZA SE,1994,0.22
CERVINO,1975,0.29
CESAR,1975,0.05
CESAR,1987,0.02
CESAR,1993,0.01
CESAR,2004,0.01
CEVEDALE FORCOLA / FUERKELEF.,1975,2.1
CEVEDALE FORCOLA / FUERKELEF.,1980,2.52
CEVEDALE PRINCIPALE / ZUFALLF.,1975,3.39
CEVEDALE PRINCIPALE / ZUFALLF.,1980,3.2
CHACALTAYA,1983,0.14
CHACALTAYA,1992,0.1
CHACALTAYA,1995,0.1
CHACALTAYA,1996,0.08
CHACALTAYA,1997,0.08
CHACALTAYA,1998,0.06
CHACALTAYA,1999,0.05
CHACALTAYA,2000,0.05
CHACALTAYA,2001,0.04
CHACALTAYA,2002,0.04
CHACALTAYA,2003,0.03
CHACALTAYA,2004,0.02
CHACALTAYA,2005,0.01
CHACALTAYA,2006,0.007192279
CHACALTAYA,2007,0.003082918
CHACALTAYA,2008,0.0040429179999999995
CHACHI,1960,2.8
CHALLENGER,1980,5.0
CHAMBERLIN,1950,3.585
CHANGMEKHANGPU,1984,4.43
CHARQUINI NORTE,1950,0.23
CHARQUINI OESTE,1950,0.11
CHARQUINI SUR,2003,0.35
CHARQUINI SUR,2004,0.39
CHARQUINI SUR,2005,0.38
CHARQUINI SUR,2006,0.35
CHARQUINI SUR,2007,0.33
CHARQUINI SUR,2008,0.33
CHARQUINI SUR,2009,0.33
CHARQUINI SUR,2010,0.33
CHARQUINI SURESTE,1950,0.52
CHATEAU BLANC,1975,2.25
CHATEAU DES DAMES,1975,0.04
CHAVACOUR,1975,1.07
CHAVANNES,1975,1.25
CHAVANNES,1977,1.09
CHEILLON,1973,4.73
CHEILLON,1975,4.73
CHENEGA,1964,370.0
CHERILLON,1975,1.15
CHETASLINA,1957,43.5
CHICO,1945,205.0
CHILES,1850,0.6
CHILES,1950,0.0
CHOGO LUNGMA,1954,320.0
CHOMJAKOV,1936,16.85
CHONG-TUR PRAVIY,1961,0.6
CHUNGPAR-TASH.,1958,21.65
CHUNGURCHATCHIRAN,1986,12.5
CIAFRAION (GELAS OR.),1975,0.05
CIAMARELLA,1975,0.7
CIAN ROISETTA,1975,0.12
CIARDONEY,1975,0.97
CIARDONEY,1987,0.97
CIARDONEY,1991,0.83
CIMA FIAMMANTE OCC. (VEDR.) / LODNERF.,1975,0.24
CIMA FIAMMANTE OCC. (VEDR.) / LODNERF.,1980,0.25
CINTURON ROCOSO,1987,0.12
CIPRESES,1842,38.81
CIPRESES,1955,39.98
CIPRESES,1997,39.4
CIPRESES,2007,38.1
