NAME,YEAR,FRONT_VARIATION
AALFOTBREEN,1975,1.0
AALFOTBREEN,1976,21.0
AALFOTBREEN,1977,20.0
ABANO,1910,-380.0
ABANO,1913,47.0
ABANO,1939,0.0
ABANO,1946,-109.0
ABANO,1957,0.0
ABANO,1959,10.0
ABANO,1961,-14.0
ABANO,1962,-1.0
ABANO,1963,5.0
ABANO,1964,9.0
ABANO,1965,-8.0
ABANO,1966,9.0
ABANO,1967,1.0
ABANO,1968,2.0
ABANO,1969,1.0
ABANO,1970,1.0
ABANO,1971,2.0
ABANO,1972,1.0
ABANO,1973,8.0
ABANO,1974,-2.0
ABANO,1976,1.6
ABANO,1977,0.0
ABANO,1978,3.0
ABANO,1981,-3.7
ABANO,1984,-4.2
ABANO,1985,-1.9
ABANO,1986,-1.2
ABANO,1987,1.2
ABANO,1988,1.0
ABANO,1989,-0.6
ABANO,1990,-0.9
ABAY,1969,-32.0
ABAY,1970,-6.0
ABAY,1971,-4.0
ABAY,1972,-5.0
ABRAHAM,1982,1.7
ABRAHAM,1983,1.0
ABRAHAM,1984,0.8
ABRAMOV,1967,-500.0
ABRAMOV,1986,-45.0
ABRAMOV,1987,-19.0
ABRAMOV,1988,-1.0
ABRAMOV,1989,-8.0
ABRAMOV,1990,-11.0
ABRAMOV,1991,-9.0
ABRAMOV,1992,-13.0
ABRAMOV,1993,-22.0
ABRAMOV,1994,-25.0
ABRAMOV,1995,0.0
ABRAMOV,1997,-79.0
ADAME,1953,-9.8
ADAME,1957,7.0
ADAMS,1892,-2900.0
ADAMS,1906,-5600.0
ADAMS,1929,-4300.0
ADAMS,1931,3500.0
ADAMS,1989,-2.1
ADAMS,1990,0.0
ADAMS,2011,-17.0
ADI KAILASH,2002,-525.0
AEU.PIRCHLKAR,1982,17.5
AEU.PIRCHLKAR,1983,25.0
AEU.PIRCHLKAR,1984,15.5
AEU.PIRCHLKAR,1985,15.5
AEU.PIRCHLKAR,1986,8.6
AEU.PIRCHLKAR,1987,7.4
AEU.PIRCHLKAR,1988,7.0
AEU.PIRCHLKAR,1989,4.0
AEU.PIRCHLKAR,1990,5.2
AEU.PIRCHLKAR,1991,3.5
AEU.PIRCHLKAR,1992,1.8
AEU.PIRCHLKAR,1993,-1.5
AEU.PIRCHLKAR,1994,-3.0
AEU.PIRCHLKAR,1995,-0.8
AEU.PIRCHLKAR,1996,-11.5
AEU.PIRCHLKAR,1997,6.0
AEU.PIRCHLKAR,1998,-8.8
AEU.PIRCHLKAR,1999,-17.0
AEU.PIRCHLKAR,2000,3.3
AEU.PIRCHLKAR,2001,-21.3
AEU.PIRCHLKAR,2002,-6.0
AEU.PIRCHLKAR,2003,-4.5
AEU.PIRCHLKAR,2004,-30.3
