NAME,YEAR,THICKNESS_CHG
AALFOTBREEN,1988,-6400.0
AALFOTBREEN,1997,5000.0
AASGAARDFONNNA ICE CAP,2002,-360.0
ADLER,2009,-1193.0
ADLER,2010,-880.3571428571429
AGASSIZ,1999,-30000.0
AGASSIZ,2002,-3000.0
AGASSIZ ICE CAP,2000,-350.0
AIALIK,1994,-3310.6666666666665
AIALIK,2000,-2040.0
AK-SAY,1999,-22400.0
AK-SAY,2012,-3300.0
AKSHIIRAK GLACIER GROUP,1977,-8300.0
AKSHIIRAK GLACIER GROUP,2000,-15100.0
AKSU,1977,-11200.0
ALAMKOUH,1997,-27470.0
ALAMKOUH,2002,-32530.0
ALAMKOUH,2010,-16790.0
ALBA,1999,-4560.0
ALDEGONDABREEN,1990,-41920.0
ALFOMBRALES,1985,0.0
ALLALIN,1946,-2100.0
ALLALIN,1956,-2135.0
ALLALIN,1967,315.0
ALLALIN,1982,4410.0
ALLALIN,1991,-7310.0
ALLALIN,1999,-2230.0
ALLALIN,2004,-1090.0
ALLEN,2000,-45000.0
ALLEN,2004,-48000.0
AMA DABLAM,2007,-7550.0
AMALIA,2000,-12500.0
AMPHU LAPTSE,2007,-7150.0
ANDREWS,1963,-3000.0
ANDREWS,1964,-1120.0
ANETO,1999,-4560.0
ANTIZANA15ALPHA,1965,-2550.0
ANTIZANA15ALPHA,1993,-4550.0
ANTIZANA15ALPHA,1997,-2670.0
ANTONIABREEN,2002,-2940.0
ANUCHIN,1981,930.0
ARCO,2000,-36750.0
ARENALES,2000,-16750.0
AREY,1993,-11600.0
AREY,1994,-11400.0
AROLLA (BAS),1993,-860.0
ASIA,2000,-16750.0
ATHABASCA,1962,-1474.0
ATHABASCA,1965,-1984.0
ATHABASCA,1967,682.0
ATHABASCA,1969,200.0
ATHABASCA,1971,-6940.0
ATHABASCA,1973,733.3333333333334
ATHABASCA,1975,-3186.0
ATHABASCA,1977,-2078.6666666666665
ATHABASCA,1979,-1041.3333333333333
AUSTRE BROEGGERBREEN,1985,-5200.0
AUSTRE MEMURUBREEN,1995,16920.0
AUSTRE MEMURUBREEN,2000,8365.0
AX010,1991,-19421.61111111111
AX010,1996,-5500.0
AX010,1999,-1636.0
AX010,2008,-7290.0
AYDGYNE,1999,-29900.0
AYDGYNE,2012,-8000.0
AYLAMA,1957,-9011.666666666666
AZUFRADO,1985,-20000.0
BAHIA DEL DIABLO,2011,-2550.0
BAIRD,1996,-15467.0
BAIRD,1999,-2580.0
BALMACEDA,2000,-43750.0
BARA SHIGRI,2004,-7557.478260869565
BARNARD,2007,-3422.0
BARNES ICE CAP,2000,-3020.0
BARRANCS,1999,-5330.0
BASODINO,1949,-12090.0
BASODINO,1961,-2800.0
BASODINO,1971,4160.0
BASODINO,1985,2870.0
BASODINO,1991,-5380.0
BASODINO,2002,-4450.0
BATTLE,2000,-34320.0
BAZHIN,1958,-5157.0
BAZHIN,1987,-6645.0
BEAR,1994,-36977.666666666664
BEAR,2000,-5050.0
BEAR LAKE,1957,400.0
BEAR LAKE,1994,-10248.4
BEAR LAKE,1999,-4750.0
BENCH,2000,-83944.5
BENCH,2004,-61400.0
BENITO,2000,-33750.0
BERING,1995,-18144.0
BERING,2000,-15500.0
BERING,2003,-191000.0
BERING,2007,-6356.0
BERNARDO,1995,-400.0
BERNARDO,2000,-12050.0
BEZYMYANNYY,1977,-39420.0
BLAADAL,1997,-15080.0
BLACK RAPIDS,1995,14578.0
BLACK RAPIDS,2000,-3300.0
BLANC,2002,-12000.0
BLAUEIS,1959,-6200.0
BLAUEIS,1970,-2600.0
BLAUEIS,1980,4414.833333333333
BLAUEIS,1989,-6829.666666666667
BLUE GLACIER,1952,-5100.0
BLUE GLACIER,1957,6200.0
BLUE GLACIER,1987,3350.0
BLUE GLACIER,1996,-4205.0
