NAME,LATITUDE,LONGITUDE,TYPE
AALFOTBREEN,61.75,5.65,Outlet glacier
ABEL,-43.32,170.63,Outlet glacier
ABRAHAMSENBREEN,79.07,14.25,Outlet glacier
ALDOUSBREEN,79.88,20.88,Outlet glacier
AMALIA,-50.95,-73.75,Outlet glacier
AMEGHINO,-50.45,-73.31,Outlet glacier
ANDREI,56.93,-130.97,Outlet glacier
ANDY,-44.43,168.37,Outlet glacier
ANTIZANA15ALPHA,-0.47,-78.15,Outlet glacier
ANUTSINA,76.35,65.05,Outlet glacier
ARCO,-47.28,-73.28,Outlet glacier
ARKHANGELSKOLGU,75.82,59.3,Outlet glacier
ASIA,-50.82,-73.73,Outlet glacier
ATAVIST,51.13,-126.22,Outlet glacier
ATHABASCA,52.2,-117.25,Outlet glacier
AUSTDALSBREEN,61.81,7.35,Outlet glacier
AUSTERDALSBREEN,61.62,6.93,Outlet glacier
AUSTRE TORELL,77.18,15.33,Outlet glacier
BAHIA DEL DIABLO,-63.82,-57.43,Outlet glacier
BAKLIBREEN,61.65,7.08,Outlet glacier
BALMACEDA,-51.38,-73.3,Outlet glacier
BAUDISSIN,-53.33,73.42500000000001,Outlet glacier
BELOIT,60.63,-148.68,Outlet glacier
BENITO,-47.03,-73.9,Outlet glacier
BERGSETBREEN,61.65,7.03,Outlet glacier
BERNARDO,-48.62,-73.93,Outlet glacier
BLACKSTONE,60.65,-148.72,Outlet glacier
BLAGNIPUJOEKULL,64.72,-19.13,Outlet glacier
BLOMSTERSKARDSBREEN,59.98,6.28,Outlet glacier
BODLEYBREEN,79.87,21.5,Outlet glacier
BOEDALSBREEN,61.77,7.12,Outlet glacier
BONDHUSBREA,60.03,6.33,Outlet glacier
BOTNABREA,60.19,6.42,Outlet glacier
BRADY,58.57,-136.78,Outlet glacier
BREIDAMJOEKULL E. A.,64.22,-16.33,Outlet glacier
BREIDAMJOEKULL E. B.,64.22,-16.33,Outlet glacier
BREIDAMJOEKULL W. A.,64.06,-16.4,Outlet glacier
BREIDAMJOEKULL W. B.,64.17,-16.47,Outlet glacier
BREIDAMJOEKULL W. C.,64.17,-16.47,Outlet glacier
