Year,Extraversion,Number of Texters,Hours of Sleep
Fourth or above,6,5,7
Fourth or above,3,4,7
Fourth or above,3,1,7
Fourth or above,1,0,7
Fourth or above,6,5,7
Fourth or above,10,4,4
Fourth or above,3,3,7
Fourth or above,8,10,8
Fourth or above,5,4,7
Fourth or above,3,4,8
Fourth or above,3,5,8
Fourth or above,4,2,8
Fourth or above,8,12,6
Fourth or above,7,3,7
Fourth or above,4,1,6.5
Fourth or above,8,3,8
Fourth or above,4,3,8
Fourth or above,4,5,7
Fourth or above,8,3,6
Fourth or above,6,15,6
Fourth or above,4,6,7
Fourth or above,8,5,7
Fourth or above,3,3,6
Fourth or above,10,5,6
Fourth or above,4,3,7
Fourth or above,3,3,6
First,5,30,8
First,7,5,7
First,10,15,6
First,1,2,6
First,4,10,6
First,6,5,7
First,7,6,7
First,4,10,7.5
First,8,10,8.5
First,5,7,7
First,3,8,6
First,8,15,7
First,8,5,7
First,2,5,7
First,8,5,6
First,5,6,6
First,5,10,8
First,9,12,8
First,4,2,8
First,4,4,8
First,9,14,6
First,6,2,8
First,5,7,5
First,8,6,8
First,5,8,7
First,3,3,7
First,6,15,7
First,4,5,8
First,7,15,6
First,3,5,9
First,4,6,6
First,3,7,7
First,2,10,7
First,6,5,7.5
First,4,15,7
First,9,8,7
First,3,6,7.5
First,8,5,8
First,4,8,7
First,4,6,8
First,7,15,7
First,3,3,7.5
First,7,4,7
First,3,2,7
First,7,10,6
First,2,2,7
First,4,5,7
First,8,5,8.5
First,6,10,8
First,4,4,7
First,6,12,7
First,8,4,7
First,4,20,8
First,6,12,7
First,5,6,6.5
First,7,5,8
First,7,5,7
First,6,3,7
First,5,30,5
First,5,10,7
First,5,2,7
First,6,8,6
First,4,0,6
First,3,3,6
First,3,4,7
First,7,10,7
First,7,15,6
First,8,20,7.5
First,4,5,7.5
First,4,7,6
First,5,2,8
First,3,10,6
First,6,12,8
First,3,3,7
First,8,13,7
First,8,6,7
First,6,10,8
First,8,25,7
First,4,10,9
First,3,3,7
First,9,9,7
First,9,10,8
First,4,3,8
First,4,5,7
First,8,10,7
First,3,8,7
First,3,8,8
First,2,2,9
First,7,2,7
First,8,10,7.5
First,5,10,6
First,5,15,6
First,6,20,7.5
First,6,5,8
First,8,10,8
First,5,5,8
First,3,10,7
First,3,4,7
First,8,5,7
First,4,1,8
First,5,5,6
First,6,5,8
First,8,5,7
First,7,5,8
First,8,6,7
First,5,7,6
First,9,5,7
First,5,5,7
First,7,10,7
First,3,8,9
First,8,10,6
First,4,4,10
First,3,7,7
First,6,10,6
First,4,4,8
First,6,3,7
First,7,8,7
First,5,0,7
First,6,15,7
First,8,10,8
First,5,20,8
First,8,10,6
First,2,1,8
First,9,5,6
First,5,20,7
First,7,3,5
First,7,8,6
First,5,12,7.5
First,6,10,8
First,4,14,7
First,3,4,6
First,5,0,7
First,1,1,4
First,4,4,7
First,7,10,7
First,8,8,7
First,3,2,7
First,4,7,8
First,6,4,8
First,8,5,7
