Year,Extraversion,Number of Texters,Hours of Sleep,Handedness,Sleep Side
First,2,6,8,Ambidextrous, back
First,7,10,7,Ambidextrous, stomach
Second,4,5,7,Ambidextrous, left side
Third,6,8,7,Ambidextrous, back
Fourth or above,3,4,7,Ambidextrous, right side
Second,3,10,6,Ambidextrous, left side
Second,1,3,3,Ambidextrous, back
Third,2,4,6,Ambidextrous, stomach
Fourth or above,8,3,6,Left-handed, left side
Fourth or above,3,3,6,Left-handed, right side
First,8,5,7,Left-handed, stomach
First,8,5,6,Left-handed, right side
First,6,2,8,Left-handed, left side
First,5,8,7,Left-handed, back
First,3,3,7,Left-handed, back
First,4,15,7,Left-handed, right side
First,8,25,7,Left-handed, left side
First,4,1,8,Left-handed, back
First,5,5,6,Left-handed, back
First,6,5,8,Left-handed, back
First,8,6,7,Left-handed, left side
First,5,7,6,Left-handed, left side
First,8,10,6,Left-handed, back
First,7,8,6,Left-handed, back
First,3,4,6,Left-handed, right side
First,5,3,7,Left-handed, back
First,2,5,8,Left-handed, back
First,8,5,7,Left-handed, left side
First,8,7,8,Left-handed, stomach
First,8,35,7,Left-handed, right side
First,9,3,6.5,Left-handed, stomach
First,6,4,8,Left-handed, back
First,10,7,8,Left-handed, right side
First,6,10,5,Left-handed, right side
First,4,10,9,Left-handed, left side
First,5,2,8,Left-handed, left side
First,10,10,7,Left-handed, left side
First,8,6,6,Left-handed, right side
First,7,10,7,Left-handed, stomach
First,6,10,7,Left-handed, stomach
First,9,10,7,Left-handed, right side
First,5,6,7,Left-handed, back
First,5,6,7,Left-handed, back
First,7,2,6,Left-handed, back
Fourth or above,5,3,6,Left-handed, left side
Fourth or above,4,8,7,Left-handed, left side
Fourth or above,7,4,6,Left-handed, right side
Fourth or above,10,6,7,Left-handed, stomach
Fourth or above,3,3,7,Left-handed, right side
Fourth or above,10,10,6,Left-handed, left side
Fourth or above,6,4,7,Left-handed, back
Fourth or above,6,3,6,Left-handed, back
Fourth or above,3,4,7.5,Left-handed, stomach
Second,2,10,9,Left-handed, stomach
Second,7,5,7,Left-handed, stomach
Second,2,2,8,Left-handed, right side
Second,4,5,7,Left-handed, left side
Second,8,8,7,Left-handed, left side
Second,6,5,7.5,Left-handed, left side
Second,7,6,7,Left-handed, stomach
Second,6,7,7,Left-handed, back
Second,10,25,7,Left-handed, stomach
Second,3,6,8,Left-handed, right side
Second,9,5,7,Left-handed, right side
Second,6,10,6,Left-handed, back
Second,4,3,7,Left-handed, right side
Second,6,6,6,Left-handed, stomach
Second,2,2,8,Left-handed, left side
Second,8,10,8,Left-handed, back
Second,6,6,6,Left-handed, back
Second,8,10,7,Left-handed, back
Second,3,8,6,Left-handed, right side
Second,7,15,6,Left-handed, right side
Second,8,7,7,Left-handed, back
Second,4,3,6,Left-handed, stomach
Second,3,15,8,Left-handed, stomach
Second,6,5,7,Left-handed, right side
Second,8,15,7,Left-handed, stomach
Second,4,0,8,Left-handed, back
Second,3,3,7,Left-handed, left side
Second,6,15,8,Left-handed, left side
Second,5,5,6,Left-handed, left side
Second,7,6,6,Left-handed, back
Second,7,6,8,Left-handed, right side
Second,7,10,9,Left-handed, left side
Second,7,12,8,Left-handed, left side
Third,6,3,7,Left-handed, right side
Third,8,2,7,Left-handed, left side
Third,3,5,7,Left-handed, stomach
Third,3,3,6,Left-handed, left side
Third,5,5,7,Left-handed, stomach
Third,10,5,8,Left-handed, right side
Third,5,2,7,Left-handed, right side
Third,6,15,7,Left-handed, stomach
Third,4,3,7,Left-handed, right side
Third,7,3,8,Left-handed, back
Third,5,3,9,Left-handed, right side
Third,8,5,7,Left-handed, right side
Third,7,20,8,Left-handed, back
Third,8,15,8,Left-handed, left side
Third,3,8,8,Left-handed, right side
Third,4,0,8,Left-handed, right side
Third,2,2,7,Left-handed, back
Third,6,5,7,Left-handed, right side
Third,7,9,9,Left-handed, right side
Third,4,4,7,Left-handed, back
Third,7,7,8,Left-handed, back
Third,5,3,8,Left-handed, left side
Third,8,5,8,Left-handed, stomach
Third,8,5,6,Left-handed, right side
Third,7,10,7,Left-handed, back
Fourth or above,6,5,7,Right-handed, right side
Fourth or above,3,4,7,Right-handed, right side
Fourth or above,3,1,7,Right-handed, back
Fourth or above,1,0,7,Right-handed, back
Fourth or above,6,5,7,Right-handed, stomach
Fourth or above,10,4,4,Right-handed, left side
Fourth or above,3,3,7,Right-handed, stomach
Fourth or above,8,10,8,Right-handed, right side
Fourth or above,5,4,7,Right-handed, left side
Fourth or above,3,4,8,Right-handed, stomach
Fourth or above,3,5,8,Right-handed, right side
Fourth or above,4,2,8,Right-handed, stomach
Fourth or above,8,12,6,Right-handed, left side
Fourth or above,7,3,7,Right-handed, back
Fourth or above,4,1,6.5,Right-handed, back
Fourth or above,8,3,8,Right-handed, left side
Fourth or above,4,3,8,Right-handed, stomach
Fourth or above,4,5,7,Right-handed, back
Fourth or above,6,15,6,Right-handed, left side
Fourth or above,4,6,7,Right-handed, back
Fourth or above,8,5,7,Right-handed, left side
Fourth or above,10,5,6,Right-handed, back
Fourth or above,4,3,7,Right-handed, right side
Fourth or above,3,3,6,Right-handed, right side
First,5,30,8,Right-handed, stomach
First,7,5,7,Right-handed, back
First,10,15,6,Right-handed, right side
First,1,2,6,Right-handed, right side
First,4,10,6,Right-handed, left side
First,6,5,7,Right-handed, stomach
First,7,6,7,Right-handed, back
First,4,10,7.5,Right-handed, right side
First,8,10,8.5,Right-handed, left side
First,5,7,7,Right-handed, right side
First,3,8,6,Right-handed, right side
First,8,15,7,Right-handed, right side
First,2,5,7,Right-handed, right side
First,5,6,6,Right-handed, back
First,5,10,8,Right-handed, back
First,9,12,8,Right-handed, right side
First,4,2,8,Right-handed, right side
First,4,4,8,Right-handed, back
First,9,14,6,Right-handed, left side
First,5,7,5,Right-handed, back
First,8,6,8,Right-handed, right side
First,6,15,7,Right-handed, stomach
First,4,5,8,Right-handed, left side
First,7,15,6,Right-handed, right side
First,3,5,9,Right-handed, left side
First,4,6,6,Right-handed, left side
First,3,7,7,Right-handed, back
First,2,10,7,Right-handed, back
First,6,5,7.5,Right-handed, stomach
First,9,8,7,Right-handed, right side
First,3,6,7.5,Right-handed, back
First,8,5,8,Right-handed, stomach
First,4,8,7,Right-handed, right side
First,7,15,7,Right-handed, right side
First,3,3,7.5,Right-handed, stomach
First,3,2,7,Right-handed, right side
First,7,10,6,Right-handed, back
First,2,2,7,Right-handed, left side
First,4,5,7,Right-handed, stomach
First,8,5,8.5,Right-handed, back
First,6,10,8,Right-handed, stomach
First,4,4,7,Right-handed, right side
First,6,12,7,Right-handed, back
First,8,4,7,Right-handed, right side
First,4,20,8,Right-handed, right side
First,6,12,7,Right-handed, stomach
First,5,6,6.5,Right-handed, right side
First,7,5,8,Right-handed, right side
First,7,5,7,Right-handed, right side
First,6,3,7,Right-handed, back
First,5,10,7,Right-handed, left side
First,5,2,7,Right-handed, left side
First,6,8,6,Right-handed, left side
First,4,0,6,Right-handed, back
First,3,3,6,Right-handed, stomach
First,3,4,7,Right-handed, left side
First,7,10,7,Right-handed, left side
First,7,15,6,Right-handed, back
First,8,20,7.5,Right-handed, stomach
First,4,5,7.5,Right-handed, left side
First,4,7,6,Right-handed, back
First,5,2,8,Right-handed, right side
First,3,10,6,Right-handed, right side
First,6,12,8,Right-handed, right side
First,3,3,7,Right-handed, left side
First,8,13,7,Right-handed, back
First,8,6,7,Right-handed, right side
First,6,10,8,Right-handed, right side
First,4,10,9,Right-handed, left side
First,3,3,7,Right-handed, back
First,9,9,7,Right-handed, back
First,9,10,8,Right-handed, back
First,4,3,8,Right-handed, back
First,4,5,7,Right-handed, back
First,8,10,7,Right-handed, left side
First,3,8,7,Right-handed, left side
First,3,8,8,Right-handed, right side
First,2,2,9,Right-handed, back
First,7,2,7,Right-handed, left side
First,8,10,7.5,Right-handed, right side
First,5,10,6,Right-handed, right side
First,5,15,6,Right-handed, left side
First,6,20,7.5,Right-handed, left side
First,6,5,8,Right-handed, right side
First,8,10,8,Right-handed, stomach
First,5,5,8,Right-handed, right side
First,3,10,7,Right-handed, right side
First,8,5,7,Right-handed, left side
First,8,5,7,Right-handed, back
First,7,5,8,Right-handed, right side
First,9,5,7,Right-handed, right side
First,5,5,7,Right-handed, stomach
First,7,10,7,Right-handed, back
First,3,8,9,Right-handed, left side
First,4,4,10,Right-handed, left side
First,3,7,7,Right-handed, right side
First,6,10,6,Right-handed, left side
First,4,4,8,Right-handed, left side
First,6,3,7,Right-handed, right side
First,7,8,7,Right-handed, right side
First,6,15,7,Right-handed, back
First,8,10,8,Right-handed, left side
First,5,20,8,Right-handed, right side
First,8,10,6,Right-handed, right side
First,2,1,8,Right-handed, right side
First,9,5,6,Right-handed, left side
First,5,20,7,Right-handed, right side
First,7,3,5,Right-handed, back
First,5,12,7.5,Right-handed, right side
First,6,10,8,Right-handed, right side
First,4,14,7,Right-handed, back
First,5,0,7,Right-handed, right side
First,1,1,4,Right-handed, right side
First,4,4,7,Right-handed, left side
First,7,10,7,Right-handed, right side
First,8,8,7,Right-handed, back
First,3,2,7,Right-handed, left side
First,4,7,8,Right-handed, right side
First,6,4,8,Right-handed, left side
First,8,5,7,Right-handed, right side
First,7,10,8,Right-handed, right side
First,3,7,7,Right-handed, back
First,4,5,8,Right-handed, back
First,6,10,7,Right-handed, back
First,6,1,7,Right-handed, back
First,8,6,7,Right-handed, right side
First,6,8,9,Right-handed, back
First,8,10,8,Right-handed, right side
First,7,17,7.5,Right-handed, back
First,5,2,6,Right-handed, right side
First,7,7,7,Right-handed, stomach
First,4,2,7,Right-handed, right side
First,8,20,7,Right-handed, right side
First,5,10,6,Right-handed, left side
First,4,5,8,Right-handed, back
First,8,4,7,Right-handed, stomach
First,8,10,7,Right-handed, left side
First,8,6,7,Right-handed, right side
First,5,10,8,Right-handed, back
First,7,5,8,Right-handed, back
First,8,8,7,Right-handed, left side
First,9,10,8,Right-handed, back
First,8,13,8,Right-handed, stomach
First,2,1,7,Right-handed, stomach
First,3,5,6.5,Right-handed, right side
First,3,2,9,Right-handed, back
First,3,2,6,Right-handed, back
First,7,9,7,Right-handed, right side
First,8,45,5,Right-handed, back
First,4,5,7,Right-handed, stomach
First,6,6,6,Right-handed, right side
First,5,10,8,Right-handed, stomach
